Farm Name,Location,Number of Turbines,Total Capacity (MW),Total Area (Square Feet),Annual Energy Production (GWh),Date of Commissioning,Type,Has Offshore Capabilities,Country,Wind Farm Operator
Bình Thuận Wind Farm,"Bình Thuận Province, Vietnam",100,200.0,1614592277,700,10/01/2018,OF,Yes,Vietnam,GE Energy Vietnam
Phu Cuong Wind Farm,"Soc Trang Province, Vietnam",40,100.0,861437368,400,03/15/2020,ON,No,Vietnam,Phu Cuong Group
Ninh Thuan Wind Farm,"Ninh Thuận Province, Vietnam",45,144.0,1189195780,500,05/25/2020,HY,Yes,Vietnam,Trung Nam Group
Bac Lieu Wind Farm,"Bac Lieu Province, Vietnam",62,99.2,1298666314,350,11/10/2017,OF,Yes,Vietnam,Bac Lieu Wind Power Company
Gia Lai Wind Farm,"Gia Lai Province, Vietnam",35,75.0,645835110,250,02/20/2020,ON,No,Vietnam,Phu Cuong Group
Khanh Hoa Wind Farm,"Khanh Hoa Province, Vietnam",45,120.0,1076391045,430,08/30/2020,ON,No,Vietnam,EVN Renewables
Quang Tri Wind Farm,"Quang Tri Province, Vietnam",56,150.0,968033742,550,06/18/2021,HY,Yes,Vietnam,Trung Nam Group
Ben Tre Wind Farm,"Ben Tre Province, Vietnam",30,80.0,538379226,280,01/12/2019,ON,No,Vietnam,Blue Circle
Tien Giang Wind Farm,"Tien Giang Province, Vietnam",40,100.0,753898833,350,07/05/2020,ON,No,Vietnam,Green Energy Vietnam
Guiwan Wind Farm,"Quang Ngai Province, Vietnam",30,80.0,645835110,270,04/15/2022,OF,Yes,Vietnam,Trung Nam Group
Con Dao Wind Farm,"Con Dao Islands, Vietnam",20,60.0,484376332,210,03/10/2021,OF,Yes,Vietnam,EVN Renewables
Dai Loc Wind Farm,"Quang Nam Province, Vietnam",48,150.0,861437368,500,06/22/2020,ON,No,Vietnam,Inrotech Vietnam
Co May Wind Farm,"Vinh Phuc Province, Vietnam",26,70.0,538379226,240,05/05/2021,ON,No,Vietnam,Inrotech Vietnam
Phu Quy Wind Farm,"Phu Quy Island, Vietnam",25,50.0,430703381,180,12/20/2020,OF,Yes,Vietnam,Vestas
Can Gio Wind Farm,"Can Gio District, Ho Chi Minh City, Vietnam",28,75.0,645835110,260,09/11/2019,ON,No,Vietnam,GE Energy Vietnam
Hoang Mai Wind Farm,"Nghe An Province, Vietnam",50,120.0,1076391045,430,04/01/2019,ON,No,Vietnam,GE Energy Vietnam
Van Phong Wind Farm,"Khanh Hoa Province, Vietnam",32,80.0,701808822,290,07/25/2021,HY,Yes,Vietnam,EVN Renewables
Thanh Hoa Wind Farm,"Thanh Hoa Province, Vietnam",42,110.0,753898833,390,02/18/2022,ON,No,Vietnam,Trung Nam Group
Dong Hai Wind Farm,"Bac Lieu Province, Vietnam",35,70.0,645835110,230,11/01/2020,OF,Yes,Vietnam,Bac Lieu Wind Power Company
Dong Nai Wind Farm,"Dong Nai Province, Vietnam",38,95.0,807572578,330,05/10/2021,HY,Yes,Vietnam,GE Energy Vietnam
